symbol,datetime,open,high,low,close,volume
RELIANCE,2026-01-01 14:03:00,1578.7,1579,1578.4,1578.9,2733
RELIANCE,2026-01-01 14:04:00,1578.9,1579.3,1578.3,1578.3,2826
RELIANCE,2026-01-01 14:05:00,1578.7,1578.8,1577.9,1578.5,3995
RELIANCE,2026-01-01 14:06:00,1578.5,1579,1578.3,1578.5,1185
RELIANCE,2026-01-01 14:07:00,1578.8,1579,1578.2,1578.2,5762
RELIANCE,2026-01-01 14:08:00,1578.9,1579.2,1578.5,1578.8,3056
RELIANCE,2026-01-01 14:09:00,1579.1,1579.4,1578.8,1578.8,2448
RELIANCE,2026-01-01 14:10:00,1579.5,1579.5,1578.6,1579,22907
RELIANCE,2026-01-01 14:11:00,1578.7,1579.5,1578.7,1579.3,2301
RELIANCE,2026-01-01 14:12:00,1579.2,1579.4,1579,1579.2,3433
RELIANCE,2026-01-01 14:13:00,1579.1,1579.5,1579.1,1579.3,1269
RELIANCE,2026-01-01 14:14:00,1579.1,1579.5,1578.6,1579.2,11369
RELIANCE,2026-01-01 14:15:00,1579.1,1579.2,1578.5,1579,673
RELIANCE,2026-01-01 14:16:00,1578.8,1579.4,1578.8,1579,1615
RELIANCE,2026-01-01 14:17:00,1579,1579.2,1579,1579.2,1125
RELIANCE,2026-01-01 14:18:00,1579.1,1579.5,1579.1,1579.4,2585
RELIANCE,2026-01-01 14:19:00,1579.4,1579.5,1579.2,1579.5,2107
RELIANCE,2026-01-01 14:20:00,1579.6,1580.1,1579.1,1580.1,11838
